TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
BOS	BOS @ NOP	11/18/2022	W	48	117	41	85	48.2	20	46	43.5	15	17	88.2	11	35	46	28	17	6	3	13	8
IND	IND @ HOU	11/18/2022	W	48	99	33	82	40.2	12	41	29.3	21	27	77.8	12	33	45	25	15	8	10	26	8
GSW	GSW vs. NYK	11/18/2022	W	48	111	41	91	45.1	18	50	36.0	11	20	55.0	12	39	51	32	18	8	3	26	10
CLE	CLE vs. CHA	11/18/2022	W	58	132	49	92	53.3	8	28	28.6	26	32	81.3	7	43	50	25	20	8	8	25	10
MIA	MIA @ WAS	11/18/2022	L	53	106	35	98	35.7	11	43	25.6	25	32	78.1	10	43	53	23	10	6	4	15	-1
PHX	PHX @ UTA	11/18/2022	L	48	133	49	94	52.1	9	30	30.0	26	28	92.9	12	30	42	29	14	7	6	25	-1
LAL	LAL vs. DET	11/18/2022	W	48	128	43	78	55.1	7	20	35.0	35	40	87.5	7	37	44	29	16	2	7	24	7
DEN	DEN @ DAL	11/18/2022	L	48	99	38	90	42.2	10	30	33.3	13	18	72.2	13	23	36	24	13	4	1	20	-28
OKC	OKC @ MEM	11/18/2022	L	48	110	45	96	46.9	11	34	32.4	9	11	81.8	8	35	43	34	11	5	9	28	-11
DAL	DAL vs. DEN	11/18/2022	W	48	127	46	77	59.7	13	32	40.6	22	28	78.6	6	38	44	29	10	5	3	19	28
CHA	CHA @ CLE	11/18/2022	L	58	122	44	110	40.0	14	44	31.8	20	24	83.3	17	36	53	24	16	11	6	33	-10
NYK	NYK @ GSW	11/18/2022	L	48	101	30	87	34.5	9	34	26.5	32	34	94.1	13	32	45	16	16	8	7	16	-10
BKN	BKN @ POR	11/17/2022	W	48	109	40	79	50.6	11	29	37.9	18	23	78.3	5	42	47	32	17	4	5	24	2
POR	POR vs. BKN	11/17/2022	L	48	107	36	93	38.7	13	36	36.1	22	27	81.5	8	31	39	22	10	9	5	22	-2
SAS	SAS @ SAC	11/17/2022	L	48	112	46	84	54.8	11	26	42.3	9	12	75.0	7	25	32	29	19	8	6	22	-18
SAC	SAC vs. SAS	11/17/2022	W	48	130	48	83	57.8	12	30	40.0	22	24	91.7	6	31	37	28	12	7	1	15	18
DET	DET @ LAC	11/17/2022	L	48	91	33	88	37.5	6	31	19.4	19	24	79.2	10	33	43	15	13	9	7	26	-5
LAC	LAC vs. DET	11/17/2022	W	48	96	33	81	40.7	11	30	36.7	19	24	79.2	10	41	51	17	18	1	1	21	5
PHX	PHX vs. GSW	11/16/2022	W	48	130	44	86	51.2	21	40	52.5	21	25	84.0	8	39	47	33	16	5	8	22	11
NYK	NYK @ DEN	11/16/2022	W	48	106	37	84	44.0	8	34	23.5	24	31	77.4	6	34	40	24	8	12	5	18	3
BOS	BOS @ ATL	11/16/2022	W	48	126	48	88	54.5	21	46	45.7	9	10	90.0	6	43	49	29	15	4	8	20	25
CHA	CHA vs. IND	11/16/2022	L	48	113	43	94	45.7	12	33	36.4	15	18	83.3	14	30	44	29	18	8	4	23	-12
MIN	MIN @ ORL	11/16/2022	W	48	126	46	88	52.3	12	36	33.3	22	28	78.6	8	32	40	28	11	15	6	15	18
CHI	CHI @ NOP	11/16/2022	L	48	110	44	89	49.4	11	32	34.4	11	17	64.7	7	30	37	25	12	2	1	18	-14
CLE	CLE @ MIL	11/16/2022	L	48	98	36	84	42.9	12	28	42.9	14	17	82.4	6	28	34	22	8	7	7	18	-15
